Designator,Mid X,Mid Y,Rotation,Layer
C1,83.3475,-40.94,0.0,top
J1,47.97,-65.09,180.0,top
J3,39.035,-52.7,270.0,top
J4,74.61,-38.34,180.0,top
J5,57.41,-38.02,180.0,top
J6,74.5,-67.09,0.0,top
J7,60.02,-67.01,0.0,top
R3,52.0,-44.46,0.0,top
R4,46.0,-44.52,0.0,top
R5,52.0,-57.08,0.0,top
R6,46.0,-57.08,0.0,top
SW1,39.52,-46.485,0.0,top
SW2,39.47,-58.95,0.0,top
U1,76.99,-52.7,270.0,top
